,year,season,,observedNino3.4
74,2008,3,2008.166667,-1.26
75,2008,4,2008.25,-0.84
76,2008,5,2008.333333,-0.58
77,2008,6,2008.416667,-0.26
78,2008,7,2008.5,-0.01
79,2008,8,2008.583333,0.03
80,2008,9,2008.666667,-0.11
81,2008,10,2008.75,-0.21
82,2008,11,2008.833333,-0.4
83,2008,12,2008.916667,-0.65
84,2009,1,2009,-0.8
85,2009,2,2009.083333,-0.72
86,2009,3,2009.166667,-0.44
87,2009,4,2009.25,-0.13
88,2009,5,2009.333333,0.24
89,2009,6,2009.416667,0.59
90,2009,7,2009.5,0.77
91,2009,8,2009.583333,0.84
92,2009,9,2009.666667,0.88
93,2009,10,2009.75,1.18
94,2009,11,2009.833333,1.51
95,2009,12,2009.916667,1.69
96,2010,1,2010,1.54
97,2010,2,2010.083333,1.32
98,2010,3,2010.166667,1.03
99,2010,4,2010.25,0.6
100,2010,5,2010.333333,0.05
101,2010,6,2010.416667,-0.51
102,2010,7,2010.5,-0.89
103,2010,8,2010.583333,-1.25
104,2010,9,2010.666667,-1.46
105,2010,10,2010.75,-1.53
106,2010,11,2010.833333,-1.52
107,2010,12,2010.916667,-1.62
108,2011,1,2011,-1.52
109,2011,2,2011.083333,-1.3
110,2011,3,2011.166667,-1.01
111,2011,4,2011.25,-0.73
112,2011,5,2011.333333,-0.46
113,2011,6,2011.416667,-0.27
114,2011,7,2011.5,-0.36
115,2011,8,2011.583333,-0.55
116,2011,9,2011.666667,-0.78
117,2011,10,2011.75,-0.92
118,2011,11,2011.833333,-1.02
119,2011,12,2011.916667,-1.06
120,2012,1,2012,-0.94
121,2012,2,2012.083333,-0.78
122,2012,3,2012.166667,-0.55
123,2012,4,2012.25,-0.34
124,2012,5,2012.333333,-0.04
125,2012,6,2012.416667,0.27
126,2012,7,2012.5,0.52
127,2012,8,2012.583333,0.59
128,2012,9,2012.666667,0.51
129,2012,10,2012.75,0.39
130,2012,11,2012.833333,0.19
131,2012,12,2012.916667,-0.05
132,2013,1,2013,-0.31
133,2013,2,2013.083333,-0.34
134,2013,3,2013.166667,-0.24
135,2013,4,2013.25,-0.2
136,2013,5,2013.333333,-0.19
137,2013,6,2013.416667,-0.26
138,2013,7,2013.5,-0.27
139,2013,8,2013.583333,-0.21
140,2013,9,2013.666667,-0.23
141,2013,10,2013.75,-0.13
142,2013,11,2013.833333,-0.12
143,2013,12,2013.916667,-0.18
144,2014,1,2014,-0.37
145,2014,2,2014.083333,-0.43
146,2014,3,2014.166667,-0.18
147,2014,4,2014.25,0.16
148,2014,5,2014.333333,0.39
149,2014,6,2014.416667,0.37
150,2014,7,2014.5,0.28
151,2014,8,2014.583333,0.28
152,2014,9,2014.666667,0.38
153,2014,10,2014.75,0.6
154,2014,11,2014.833333,0.71
155,2014,12,2014.916667,0.72
156,2015,1,2015,0.62
157,2015,2,2015.083333,0.56
158,2015,3,2015.166667,0.64
159,2015,4,2015.25,0.8
160,2015,5,2015.333333,1.04
161,2015,6,2015.416667,1.32
162,2015,7,2015.5,1.66
163,2015,8,2015.583333,1.98
164,2015,9,2015.666667,2.27
165,2015,10,2015.75,2.57
166,2015,11,2015.833333,2.74
167,2015,12,2015.916667,2.79
168,2016,1,2016,2.61
169,2016,2,2016.083333,2.23
170,2016,3,2016.166667,1.72
171,2016,4,2016.25,1.02
172,2016,5,2016.333333,0.42
173,2016,6,2016.416667,-0.1
174,2016,7,2016.5,-0.38
175,2016,8,2016.583333,-0.54
176,2016,9,2016.666667,-0.62
177,2016,10,2016.75,-0.63
178,2016,11,2016.833333,-0.57
179,2016,12,2016.916667,-0.43
180,2017,1,2017,-0.2
181,2017,2,2017.083333,-0.03
182,2017,3,2017.166667,0.2
183,2017,4,2017.25,0.3
184,2017,5,2017.333333,0.44
185,2017,6,2017.416667,0.47
186,2017,7,2017.5,0.26
187,2017,8,2017.583333,-0.07
188,2017,9,2017.666667,-0.35
189,2017,10,2017.75,-0.58
190,2017,11,2017.833333,-0.7
191,2017,12,2017.916667,-0.79
192,2018,1,2018,-0.81
193,2018,2,2018.083333,-0.79
194,2018,3,2018.166667,-0.68
195,2018,4,2018.25,-0.41
196,2018,5,2018.333333,-0.1
197,2018,6,2018.416667,0.12
198,2018,7,2018.5,0.27
199,2018,8,2018.583333,0.31
200,2018,9,2018.666667,0.51
201,2018,10,2018.75,0.74
202,2018,11,2018.833333,0.95
203,2018,12,2018.916667,0.82
204,2019,1,2019,0.71
205,2019,2,2019.083333,0.72
206,2019,3,2019.166667,0.84
207,2019,4,2019.25,0.85
208,2019,5,2019.333333,0.71
209,2019,6,2019.416667,0.57
210,2019,7,2019.5,0.4
211,2019,8,2019.583333,0.18
212,2019,9,2019.666667,0.25
213,2019,10,2019.75,0.41
214,2019,11,2019.833333,0.58
215,2019,12,2019.916667,0.54
216,2020,1,2020,0.47
217,2020,2,2020.083333,0.5
218,2020,3,2020.166667,0.53
